visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_1.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Log senddate acknowledgement', 'Applicant is involved', 'Period application received', *( ->( X( tau, 'Terminate on request' ), *( 'Issue confirmation receipt', tau ) ), 'No permit necessary or only notification needed' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_12.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Log senddate acknowledgement', 'Applicant is involved', 'Period application received', *( ->( X( tau, 'Terminate on request' ), *( 'Issue confirmation receipt', tau ) ), 'No permit necessary or only notification needed' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_14.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', *( 'Issue confirmation receipt', tau ), *( ->( X( tau, 'Period application received' ), X( tau, 'Log senddate acknowledgement' ) ), 'No permit necessary or only notification needed' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_15.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Log senddate acknowledgement', 'Applicant is involved', *( 'Issue confirmation receipt', tau ), 'Period application received' ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_20.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( *( 'Issue confirmation receipt', tau ), ->( +( 'Applicant is involved', 'Period application received' ), 'Log senddate acknowledgement' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, 'Terminate on request' ), X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', X( tau, 'Period application received' ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_33.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, 'Terminate on request' ), X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', 'Period application received', +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_34.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved' ) ), 'Period application received', +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_36.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved' ) ), +( *( 'Issue confirmation receipt', tau ), X( tau, 'Period application received' ) ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_40.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved' ) ), +( *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', 'Period application received' ) ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_86.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'No permit necessary or only notification needed', 'Applicant is involved', 'Period application received' ) ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' )")
