visualization_filename, serialization
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'register submission date request', X( tau, 'OLO messaging active' ), +( 'applicant is stakeholder', 'enter senddate acknowledgement', 'phase application received', *( ->( X( tau, 'terminate on request' ), *( 'send confirmation receipt', tau ) ), 'no permit needed or only notification needed' ) ) )")
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_20.svg', "->( 'register submission date request', 'OLO messaging active', +( *( 'send confirmation receipt', tau ), ->( +( 'applicant is stakeholder', 'phase application received' ), 'enter senddate acknowledgement' ) ) )")
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'register submission date request', 'OLO messaging active', X( tau, 'terminate on request' ), X( tau, 'no permit needed or only notification needed' ), 'applicant is stakeholder', X( tau, 'phase application received' ), +( 'enter senddate acknowledgement', *( 'send confirmation receipt', tau ) ) )")
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_40.svg', "->( 'register submission date request', 'OLO messaging active', X( tau, ->( X( tau, 'no permit needed or only notification needed' ), 'applicant is stakeholder' ) ), +( 'phase application received', *( 'send confirmation receipt', tau ) ), 'enter senddate acknowledgement' )")
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'register submission date request', 'OLO messaging active', X( tau, ->( X( tau, 'no permit needed or only notification needed' ), 'applicant is stakeholder', 'phase application received' ) ), *( 'send confirmation receipt', tau ), 'enter senddate acknowledgement' )")
('BPIC15_3/process_tree_case_size_betwee_7_and_8_noise_90.svg', "->( 'register submission date request', 'OLO messaging active', X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder', 'phase application received' ) ), *( 'send confirmation receipt', tau ), 'enter senddate acknowledgement' )")
('BPIC15_3/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), +( X( tau, 'applicant is stakeholder' ), ->( +( X( tau, 'enter date termination request received' ), ->( +( X( tau, 'enter senddate acknowledgement' ), ->( X( tau, 'reception through OLO' ), +( X( tau, 'create procedure confirmation' ), ->( +( *( 'send confirmation receipt', tau ), ->( X( tau, 'enter senddate procedure confirmation', ->( +( X( tau, 'terminate on request' ), X( tau, 'no permit needed or only notification needed' ) ), X( tau, 'create letter no permit or only notification required' ) ) ), X( tau, +( 'forward to the competent authority', 'regular procedure without MER' ) ) ) ), X( tau, ->( X( tau, 'publish' ), 'start WABOprocedure' ) ) ) ) ) ), X( tau, 'phase procedure prematurely terminated' ) ) ), X( tau, 'send procedure confirmation' ) ) ) ) ), X( tau, ->( 'suspend term', 'registrer date of publishing received request' ), ->( X( ->( 'enter senddate letter no permit or only notification required', 'register deadline' ), ->( 'enter senddate request termination', 'message terminate request' ) ), 'phase procedure aborted', X( tau, 'close case' ) ) ) )")
('BPIC15_3/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'register submission date request', X( tau, 'OLO messaging active' ), +( 'phase application received', ->( X( tau, 'enter date termination request received' ), +( X( tau, 'applicant is stakeholder' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'enter senddate acknowledgement' ), X( tau, 'terminate on request' ), X( tau, 'no permit needed or only notification needed' ) ), X( tau, +( 'forward to the competent authority', ->( 'regular procedure without MER', X( tau, 'create procedure confirmation' ) ) ) ) ) ), X( tau, 'send procedure confirmation' ) ) ) ) ), X( tau, ->( X( tau, 'publish' ), 'start WABOprocedure' ) ), X( tau, ->( 'suspend term', 'registrer date of publishing received request' ), ->( X( ->( 'enter senddate letter no permit or only notification required', 'register deadline' ), ->( 'enter senddate request termination', 'message terminate request' ) ), 'phase procedure aborted', X( tau, 'close case' ) ) ) )")
('BPIC15_3/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'register submission date request', X( tau, 'enter date termination request received', 'OLO messaging active' ), +( X( tau, 'applicant is stakeholder' ), 'phase application received', ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'enter senddate acknowledgement' ), X( tau, 'terminate on request' ), X( tau, 'no permit needed or only notification needed' ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER', X( tau, 'create procedure confirmation' ) ) ) ) ), X( tau, 'send procedure confirmation' ) ) ), X( tau, ->( X( tau, 'publish' ), 'start WABOprocedure' ) ), X( tau, ->( 'suspend term', 'registrer date of publishing received request' ), ->( X( ->( 'enter senddate letter no permit or only notification required', 'register deadline' ), ->( 'enter senddate request termination', 'message terminate request' ) ), 'phase procedure aborted', X( tau, 'close case' ) ) ) )")
('BPIC15_3/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( 'register submission date request', X( tau, 'enter date termination request received', 'OLO messaging active' ), +( X( tau, 'applicant is stakeholder' ), 'phase application received', X( tau, 'terminate on request' ), *( 'send confirmation receipt', tau ), X( tau, 'no permit needed or only notification needed' ) ), X( tau, 'enter senddate acknowledgement' ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'create procedure confirmation' ), X( tau, ->( X( tau, 'publish' ), 'start WABOprocedure' ) ), X( tau, ->( 'suspend term', 'registrer date of publishing received request' ), ->( X( ->( 'enter senddate letter no permit or only notification required', 'register deadline' ), ->( 'enter senddate request termination', 'message terminate request' ) ), 'phase procedure aborted', X( tau, 'close case' ) ) ) )")
