visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Log senddate acknowledgement', 'Applicant is involved', 'Period application received', *( ->( X( tau, 'Terminate on request' ), *( 'Issue confirmation receipt', tau ) ), 'No permit necessary or only notification needed' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_20.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( *( 'Issue confirmation receipt', tau ), ->( +( 'Applicant is involved', 'Period application received' ), 'Log senddate acknowledgement' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, 'Terminate on request' ), X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', X( tau, 'Period application received' ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_40.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved' ) ), +( *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', 'Period application received' ) ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_7_and_8_noise_90.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'No permit necessary or only notification needed', 'Applicant is involved', 'Period application received' ) ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( +( 'Record submission date request', 'Period application received', ->( X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Log senddate acknowledgement' ), ->( X( tau, 'Reception through OLO system' ), +( X( tau, 'Create procedure confirmation' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, 'Log senddate procedure confirmation', ->( +( X( tau, 'No permit necessary or only notification needed' ), X( tau, 'Terminate on request' ) ), X( tau, 'draft no permit or notification letter' ) ) ), X( tau, +( 'Direct to the competent authority', 'Normal procedure without MER' ) ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ) ) ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ), X( tau, 'Send procedure confirmation' ) ) ) ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', X( tau, 'Close the file' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Period application received', ->( X( tau, 'Document date termination request received' ), +( X( tau, 'Applicant is involved' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( +( X( tau, 'No permit necessary or only notification needed' ), X( tau, 'Log senddate acknowledgement' ), X( tau, 'Terminate on request' ) ), X( tau, +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ) ) ) ) ) ), X( tau, 'Send procedure confirmation' ) ) ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', X( tau, 'Close the file' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'Record submission date request', X( tau, 'Document date termination request received', 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), 'Period application received', ->( +( *( 'Issue confirmation receipt', tau ), ->( +( X( tau, 'No permit necessary or only notification needed' ), X( tau, 'Log senddate acknowledgement' ), X( tau, 'Terminate on request' ) ), X( tau, ->( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ) ) ) ) ), X( tau, 'Send procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', X( tau, 'Close the file' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( 'Record submission date request', X( tau, 'Document date termination request received', 'OLO messaging ongoing' ), +( X( tau, 'No permit necessary or only notification needed' ), X( tau, 'Terminate on request' ), X( tau, 'Applicant is involved' ), *( 'Issue confirmation receipt', tau ), 'Period application received' ), X( tau, 'Log senddate acknowledgement' ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', X( tau, 'Close the file' ) ) ) )")
