visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_1.svg', "->( 'Record submission date request', +( 'Log senddate acknowledgement', ->( X( tau, 'Log senddate procedure confirmation' ), X( tau, 'OLO messaging ongoing' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( ->( X( tau, 'Applicant is involved' ), 'Issue confirmation receipt' ), tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), +( X( tau, 'Direct to the competent authority' ), ->( X( tau, *( 'No permit necessary or only notification needed', tau ) ), X( tau, ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', X( tau, 'Phased application' ) ) ) ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ) ), X( tau, 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( 'Record submission date request', +( 'Log senddate acknowledgement', ->( X( tau, 'Log senddate procedure confirmation' ), X( tau, 'OLO messaging ongoing' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( ->( X( tau, 'Applicant is involved' ), 'Issue confirmation receipt' ), tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), +( 'Direct to the competent authority', ->( X( tau, *( 'No permit necessary or only notification needed', tau ) ), 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', X( tau, 'Phased application' ) ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ) ), X( tau, 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_15.svg', "->( 'Record submission date request', +( 'Log senddate acknowledgement', ->( X( tau, 'Log senddate procedure confirmation' ), X( tau, 'OLO messaging ongoing' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( ->( X( tau, 'Applicant is involved' ), 'Issue confirmation receipt' ), tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', X( tau, 'Phased application' ) ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ) ), X( tau, 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_19.svg', "->( 'Record submission date request', +( 'Log senddate acknowledgement', ->( X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), X( tau, 'Applicant is involved' ), *( 'Issue confirmation receipt', tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', X( tau, 'Phased application' ) ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ) ), X( tau, 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', +( 'Log senddate acknowledgement', ->( X( tau, 'Applicant is involved' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ), X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_25.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', X( tau, 'Applicant is involved' ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ), 'Period application received' ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ), X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_34.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', X( tau, 'Applicant is involved' ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ), 'Period application received' ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( 'No permit required for submission', 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Start WABOprocedure', X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_38.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', 'Applicant is involved', 'Period application received', X( tau, 'Reception through OLO system' ), *( ->( 'Issue confirmation receipt', X( tau, 'Log senddate acknowledgement' ) ), tau ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( 'No permit required for submission', 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Start WABOprocedure', X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_40.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', 'Applicant is involved', 'Period application received', X( tau, 'Reception through OLO system' ), *( ->( 'Issue confirmation receipt', X( tau, 'Log senddate acknowledgement' ) ), tau ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, 'Environmental Report needed' ), X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Direct to the competent authority', X( tau, *( 'No permit necessary or only notification needed', tau ) ), X( tau, 'Normal procedure without MER' ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Start WABOprocedure', X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_50.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', 'Applicant is involved', 'Period application received', X( tau, 'Reception through OLO system' ), *( ->( 'Issue confirmation receipt', X( tau, 'Log senddate acknowledgement' ) ), tau ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, 'Environmental Report needed' ), 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Direct to the competent authority', X( tau, *( 'No permit necessary or only notification needed', tau ) ), X( tau, 'Normal procedure without MER' ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( 'Start WABOprocedure', ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
