visualization_filename, serialization
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_1.svg', "->( 'Enter submission date request', +( X( tau, 'Register senddate acknowledgement' ), 'Step application received', 'OLO messages active', ->( +( *( 'Transmit confirmation receipt', tau ), ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ) ) ), X( ->( 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice' ), ->( X( tau, 'Evaluate provisional charges' ), +( 'Ordinary procedure without MER', ->( +( 'Refer to the competent authority', X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ) ), X( tau, 'Update BAG administrator' ) ) ), +( 'Commence WABOprocedure', X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', 'Register publication date' ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Inspect field for phased application' ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( 'Enter submission date request', +( X( tau, 'Register senddate acknowledgement' ), 'Step application received', 'OLO messages active', ->( +( *( 'Transmit confirmation receipt', tau ), ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ) ) ), X( ->( 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice' ), ->( X( tau, 'Evaluate provisional charges' ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority', X( tau, 'Update BAG administrator' ) ) ), +( 'Commence WABOprocedure', X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', 'Register publication date' ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Inspect field for phased application' ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_12.svg', "->( 'Enter submission date request', +( X( tau, 'Register senddate acknowledgement' ), 'Step application received', 'OLO messages active', ->( +( *( 'Transmit confirmation receipt', tau ), ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ) ) ), X( ->( 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice' ), ->( X( tau, 'Evaluate provisional charges' ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority' ) ), X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ) ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, 'Inspect field for phased application' ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority' ) ), X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ) ) ), 'Commence WABOprocedure' ) ), X( tau, ->( X( tau, 'Inspect field for phased application' ), 'Register senddate acknowledgement' ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_23.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ) ) ), 'Commence WABOprocedure' ) ), X( tau, ->( X( tau, 'Inspect field for phased application' ), 'Register senddate acknowledgement' ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_25.svg', "->( 'Enter submission date request', X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ) ) ), 'Commence WABOprocedure' ) ), X( tau, 'Inspect field for phased application' ), X( tau, 'Register senddate acknowledgement' ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_28.svg', "->( 'Enter submission date request', X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ), 'Commence WABOprocedure' ) ), X( tau, 'Inspect field for phased application' ), X( tau, 'Register senddate acknowledgement' ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_28.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, 'Form publication document' ) ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_34.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', 'Form publication document' ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_42.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', 'Form publication document' ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
