visualization_filename, serialization
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_1.svg', "->( 'Log submission date request', +( 'Stage application received', X( tau, 'OLO communication active' ), ->( X( tau, 'Submit application via OLO' ), *( X( 'No permit required or only notification needed', +( X( tau, *( 'Dispatch confirmation receipt', tau ) ), ->( X( tau, 'Applicant is a stakeholder' ), +( X( tau, 'End on request' ), X( tau, ->( X( tau, 'Compute provisional charges' ), X( tau, +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ) ) ), X( tau, +( X( tau, 'Inspect BAG objects' ), X( tau, ->( 'Standard procedure without MER', X( tau, +( 'Begin WABOprocedure', X( tau, ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ), tau ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_3.svg', "->( 'Log submission date request', +( 'Stage application received', X( tau, 'OLO communication active' ), ->( X( tau, 'Submit application via OLO' ), *( X( 'No permit required or only notification needed', +( X( tau, *( 'Dispatch confirmation receipt', tau ) ), ->( X( tau, 'Applicant is a stakeholder' ), +( X( tau, 'End on request' ), X( tau, ->( X( tau, 'Compute provisional charges' ), +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ) ) ), X( tau, +( X( tau, 'Inspect BAG objects' ), X( tau, ->( 'Standard procedure without MER', X( tau, +( 'Begin WABOprocedure', X( tau, ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ), tau ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_6.svg', "->( 'Log submission date request', +( 'Stage application received', X( tau, 'OLO communication active' ), ->( X( tau, 'Submit application via OLO' ), *( X( 'No permit required or only notification needed', +( X( tau, *( 'Dispatch confirmation receipt', tau ) ), ->( X( tau, 'Applicant is a stakeholder' ), +( X( tau, 'End on request' ), ->( X( tau, 'Compute provisional charges' ), +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ) ) ), X( tau, +( X( tau, 'Inspect BAG objects' ), X( tau, ->( 'Standard procedure without MER', X( tau, +( 'Begin WABOprocedure', X( tau, ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ), tau ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_7.svg', "->( 'Log submission date request', +( 'Stage application received', X( tau, 'Record senddate acknowledgement' ), ->( X( tau, 'OLO communication active' ), +( X( tau, 'Standard procedure without MER' ), ->( +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'No permit required or only notification needed' ), X( tau, ->( X( tau, 'Applicant is a stakeholder' ), 'End on request', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, 'Notify BAG administrator' ), X( tau, +( 'Begin WABOprocedure', X( tau, ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ) ) ), X( tau, 'Inspect BAG objects' ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_8.svg', "->( 'Log submission date request', +( 'Stage application received', X( tau, 'Record senddate acknowledgement' ), ->( X( tau, 'OLO communication active' ), +( X( tau, 'Standard procedure without MER' ), ->( +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'No permit required or only notification needed' ), X( tau, ->( X( tau, 'Applicant is a stakeholder' ), 'End on request', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, 'Notify BAG administrator' ), X( tau, +( 'Begin WABOprocedure', ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ) ), X( tau, 'Inspect BAG objects' ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', X( tau, 'Record senddate acknowledgement' ), ->( X( tau, 'OLO communication active' ), +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( X( tau, 'Applicant is a stakeholder' ), 'End on request', X( tau, 'Compute provisional charges' ) ) ), X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), +( 'Standard procedure without MER', ->( +( 'Begin WABOprocedure', ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ), X( tau, 'Inspect BAG objects' ) ) ) ) ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_11.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', 'Record senddate acknowledgement', ->( 'OLO communication active', +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( X( tau, 'Applicant is a stakeholder' ), 'End on request', X( tau, 'Compute provisional charges' ) ) ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), +( 'Standard procedure without MER', ->( +( 'Begin WABOprocedure', ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ), X( tau, 'Inspect BAG objects' ) ) ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_23.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO' ), X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( 'Applicant is a stakeholder', 'End on request', X( tau, 'Compute provisional charges' ) ) ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), +( 'Standard procedure without MER', ->( +( 'Begin WABOprocedure', ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ), X( tau, 'Inspect BAG objects' ) ) ) ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_25.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO' ), X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( 'Applicant is a stakeholder', 'End on request', X( tau, 'Compute provisional charges' ) ) ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', +( 'Begin WABOprocedure', ->( 'Generate procedure confirmation', X( tau, 'Release' ) ) ) ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_13_noise_28.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO' ), X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( 'Applicant is a stakeholder', 'End on request', X( tau, 'Compute provisional charges' ) ) ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', X( tau, ->( 'Generate procedure confirmation', 'Release' ) ), 'Begin WABOprocedure' ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'MER included', 'Regular procedure activities', 'Phased application' ), ->( 'Dispatch procedure confirmation', 'Record senddate procedure confirmation' ), ->( X( tau, ->( 'Competent authority initiative', 'Create terminate request message', 'Check publication date field' ), ->( 'draft letter for no permit or notification required', 'log senddate letter no permit or notification needed' ) ), +( 'Phase procedure cancelled', ->( X( tau, ->( X( tau, 'Prematurely terminated phase procedure' ), 'Log date termination request received', X( tau, ->( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, 'Log deadline' ) ) ), X( tau, 'Close the case' ) ) ) )")
