visualization_filename, serialization
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', X( tau, 'application submitted through OLO' ) ) ), +( 'phase application received', ->( X( tau, ->( X( tau, 'reception through OLO' ), 'send confirmation receipt', X( tau, 'applicant is stakeholder' ) ) ), X( tau, ->( 'terminate on request', X( tau, 'calculate provisional charges' ) ) ) ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_20.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', X( tau, 'application submitted through OLO' ) ) ), +( 'phase application received', ->( X( tau, 'reception through OLO' ), 'send confirmation receipt', X( tau, 'applicant is stakeholder' ), 'terminate on request', X( tau, 'calculate provisional charges' ) ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', X( tau, 'application submitted through OLO' ) ) ), +( 'phase application received', ->( X( tau, 'reception through OLO' ), 'send confirmation receipt', 'applicant is stakeholder', 'terminate on request', X( tau, 'calculate provisional charges' ) ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_40.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', X( tau, 'application submitted through OLO' ) ) ), X( tau, 'reception through OLO' ), 'send confirmation receipt', 'applicant is stakeholder', 'terminate on request', 'calculate provisional charges', 'phase application received', X( tau, ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_60.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', X( tau, 'application submitted through OLO' ) ) ), X( tau, 'reception through OLO' ), 'send confirmation receipt', 'applicant is stakeholder', 'terminate on request', 'calculate provisional charges', 'phase application received', X( ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_70.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', 'application submitted through OLO' ) ), X( tau, 'reception through OLO' ), 'send confirmation receipt', 'applicant is stakeholder', 'terminate on request', 'calculate provisional charges', 'phase application received', X( ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_7_and_8_noise_80.svg', "->( 'register submission date request', X( 'enter senddate acknowledgement', 'enter date termination request received', ->( 'OLO messaging active', 'application submitted through OLO' ) ), 'reception through OLO', 'send confirmation receipt', 'applicant is stakeholder', 'terminate on request', 'calculate provisional charges', 'phase application received', X( ->( 'forward to the competent authority', 'regular procedure without MER' ), ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( 'register submission date request', X( tau, 'enter date termination request received' ), +( X( tau, 'enter senddate acknowledgement' ), 'phase application received', ->( X( tau, 'OLO messaging active' ), +( X( tau, *( 'send confirmation receipt', tau ) ), ->( X( tau, ->( +( X( tau, 'applicant is stakeholder' ), 'terminate on request' ), X( tau, 'calculate provisional charges', 'no permit needed or only notification needed' ) ) ), X( tau, ->( 'forward to the competent authority', X( tau, ->( 'regular procedure without MER', X( tau, ->( X( tau, ->( 'create procedure confirmation', 'publish' ) ), 'start WABOprocedure' ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'register submission date request', X( tau, 'enter date termination request received' ), +( 'enter senddate acknowledgement', 'phase application received', ->( X( tau, 'OLO messaging active' ), +( *( 'send confirmation receipt', tau ), ->( X( tau, ->( +( X( tau, 'applicant is stakeholder' ), 'terminate on request' ), X( tau, 'calculate provisional charges', 'no permit needed or only notification needed' ) ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', 'publish' ) ), 'start WABOprocedure' ) ) ) ) ) ), X( tau, ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
('BPIC15_2/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'register submission date request', X( tau, 'enter date termination request received' ), +( 'enter senddate acknowledgement', 'phase application received', ->( 'OLO messaging active', +( *( 'send confirmation receipt', tau ), ->( X( tau, ->( +( X( tau, 'applicant is stakeholder' ), 'terminate on request' ), X( tau, 'calculate provisional charges', 'no permit needed or only notification needed' ) ) ), 'forward to the competent authority', 'regular procedure without MER', 'create procedure confirmation', 'publish', 'start WABOprocedure' ) ) ) ), X( tau, ->( 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ) ) )")
